RANK,WORD,FREQUENCY,POS
1,के,102514,PREP
2,है,87936,VAUX
3,में,80274,PREP
4,की,66920,PREP
5,से,48687,PREP
6,और,47507,CC
7,का,47048,PREP
8,को,40789,PREP
9,हैं,30572,VAUX
10,पर,26482,PREP
11,भी,25357,RP
12,नहीं,22881,NEG
13,कि,22876,CC
14,एक,20275,QFNUM
15,ही,19469,RP
16,हो,18154,VFM
17,तो,16500,RP
18,यह,16431,PRP
19,था,16215,VAUX
20,ने,16109,PREP
21,इस,16100,PRP
22,लिए,15499,PREP
23,कर,14149,VFM
24,वह,12388,PRP
25,किया,12048,VFM
26,गया,11836,VAUX
27,तथा,11544,CC
28,करने,9988,VNN
29,जो,9466,PRP
30,अपने,8224,PRP
31,थे,8151,VAUX
32,थी,8137,VAUX
33,न,7466,NEG
34,कुछ,7423,QF
35,जाता,7068,VAUX
36,साथ,7001,PREP
37,या,6917,CC
38,तक,6857,PREP
39,होता,6768,VFM
40,दिया,6534,VAUX
41,जा,6128,VAUX
42,रहा,6018,VAUX
43,मैं,5974,PRP
44,कोई,5844,PRP
45,वे,5756,PRP
46,हुए,5749,VAUX
47,रूप,5317,NN
48,किसी,5290,PRP
49,हुआ,5211,VFM
50,उसे,4948,PRP
51,बात,4924,NN
52,द्वारा,4858,PREP
53,समय,4781,NN
54,उसके,4754,PRP
55,क्या,4679,QW
56,कहा,4671,VFM
57,गई,4667,VAUX
58,प्रकार,4653,NN
59,अपनी,4624,PRP
60,करते,4607,VJJ
61,उस,4555,PRP
62,रहे,4528,VAUX
63,एवं,4512,CC
64,होती,4433,VFM
65,सकता,4409,VAUX
66,जब,4400,RB
67,रही,4279,VAUX
68,बहुत,4251,INTF
69,अधिक,4151,JJ
70,होने,4057,VNN
71,जाती,3993,VAUX
72,दो,3967,QFNUM
73,तरह,3924,Unk
74,बाद,3873,PREP
75,इन,3849,PRP
76,कारण,3832,PREP
77,फिर,3815,RB
78,हुई,3809,VFM
79,करना,3757,VNN
80,हम,3647,PRP
81,उनके,3594,PRP
82,अ,3560,Unk
83,वाले,3485,PREP
84,चाहिए,3420,VFM
85,जाने,3345,VNN
86,कार्य,3345,Unk
87,लेकिन,3335,CC
88,करता,3265,VFM
89,गये,3261,VAUX
90,इसके,3218,PRP
91,काम,3194,NN
92,ओर,3082,NLOC
93,आदि,2998,RP
94,वर्ष,2960,NN
95,दी,2957,VAUX
96,प्राप्त,2946,JVB
97,पहले,2920,JJ
98,उसकी,2916,Unk
99,विकास,2911,NN
100,आ,2884,VFM
101,जैसे,2864,PRP
102,आप,2848,Unk
103,होते,2845,VFM
104,भारत,2844,NNP
105,सरकार,2833,NN
106,ज,2797,Unk
107,उन्हें,2792,PRP
108,दिन,2788,NN
109,कम,2777,INTF
110,ये,2762,PRP
111,जीवन,2762,NN
112,क्षेत्र,2749,NN
113,कभी,2745,RB
114,लोग,2721,NN
115,:,2672,SYM
116,देश,2608,NN
117,उसने,2606,PRP
118,मुझे,2599,PRP
119,जाते,2589,Unk
120,दोनों,2574,QFNUM
121,बा,2569,Unk
122,अन्य,2541,JJ
123,आज,2534,NN
124,व,2526,CC
125,होगा,2518,VFM
126,गयी,2514,Unk
127,गए,2464,VAUX
128,उसका,2463,Unk
129,यदि,2455,CC
130,उनकी,2440,PRP
131,पास,2434,PREP
132,सभी,2425,QF
133,घर,2418,NN
134,लिया,2389,VAUX
135,इसी,2389,PRP
136,सब,2352,INTF
137,लोगों,2324,NN
138,लिये,2302,VFM
139,तब,2291,RB
140,उन्होंने,2250,PRP
141,नाम,2187,NN
142,हूं,2184,VAUX
143,ऐसे,2146,PRP
144,ऐसा,2144,PRP
145,अपना,2108,PRP
146,दूसरे,2079,QFNUM
147,लगा,2073,VFM
148,केवल,2073,INTF
149,राज्य,2044,NN
150,उन,2024,PRP
151,सकते,1988,VAUX
152,करके,1987,Unk
153,ले,1952,VFM
154,व्यक्ति,1947,NN
155,तुम,1934,Unk
156,श्री,1924,Unk
157,मे,1911,Unk
158,मेरे,1899,PRP
159,भारतीय,1890,JJ
160,प्रति,1878,PREP
161,वाली,1871,PREP
162,दे,1869,VFM
163,सी,1867,NNPC
164,सकती,1853,VAUX
165,ऐसी,1851,Unk
166,करती,1841,VFM
167,विशेष,1834,JJ
168,देने,1832,VNN
169,प्रयोग,1820,NVB
170,क्योंकि,1807,Unk
171,कई,1803,QF
172,हाथ,1785,NN
173,विभिन्न,1769,JJ
174,बीच,1744,PREP
175,स्थिति,1734,NN
176,उनका,1731,PRP
177,मन,1729,Unk
178,हमारे,1725,PRP
179,इसलिए,1719,RB
180,भाषा,1706,Unk
181,इसका,1697,Unk
182,बड़े,1688,JJ
183,व्यवस्था,1681,NN
184,तीन,1671,QFNUM
185,अथवा,1664,CC
186,बड़ी,1648,JJ
187,विचार,1637,Unk
188,लाख,1614,NN
189,परन्तु,1612,Unk
190,यहां,1611,NLOC
191,योजना,1609,NN
192,वहां,1589,NLOC
193,अलग,1571,JJ
194,भाग,1564,NN
195,ठीक,1557,Unk
196,जिस,1557,Unk
197,मैंने,1547,PRP
198,अनेक,1544,QF
199,अनुसार,1534,PREP
200,पानी,1533,Unk
201,आधार,1533,NN
202,यही,1532,Unk
203,हूँ,1528,Unk
204,किन्तु,1524,Unk
205,अभी,1519,RB
206,स्थान,1516,NN
207,किए,1510,VFM
208,किये,1502,VFM
209,तैयार,1497,JVB
210,उत्पादन,1481,Unk
211,देखा,1477,Unk
212,शिक्षा,1475,Unk
213,उसी,1465,PRP
214,ध्यान,1461,NVB
215,सामने,1457,NLOC
216,क्यों,1444,Unk
217,रहता,1443,Unk
218,प्रदेश,1439,NNC
219,समाज,1432,NN
220,बारे,1431,PREP
221,लेकर,1424,VRB
222,इसमें,1424,PRP
223,कहीं,1422,NLOC
224,बना,1421,VFM
225,उत्तर,1410,Unk
226,होकर,1393,VRB
227,हर,1393,QF
228,दृष्टि,1380,NN
229,थीं,1378,VAUX
230,आया,1378,VFM
231,बन,1377,VFM
232,आवश्यक,1375,Unk
233,रह,1373,VFM
234,जाना,1366,VAUX
235,होना,1362,VNN
236,बाहर,1341,NLOC
237,मेरी,1334,PRP
238,आगे,1326,NLOC
239,सम्बन्ध,1323,Unk
240,देते,1316,VJJ
241,काफी,1309,INTF
242,कहते,1303,VFM
243,विषय,1297,NN
244,सिंह,1294,NNP
245,दौरान,1294,PREP
246,दूर,1286,JJ
247,निर्माण,1284,NN
248,मुख्य,1282,JJ
249,ऊपर,1281,Unk
250,सहायता,1276,NVB
251,नही,1268,Unk
252,पता,1260,NVB
253,रुपये,1259,Unk
254,जिसमें,1253,PRP
255,अध्ययन,1249,NN
256,पूर्व,1247,JJ
257,इससे,1238,PRP
258,सबसे,1236,INTF
259,लगभग,1230,RB
260,कार्यक्रम,1227,NN
261,अगर,1224,Unk
262,प्रतिशत,1222,NN
263,अत:,1217,Unk
264,राजा,1211,NN
265,पत्र,1209,NN
266,बड़ा,1207,Unk
267,उपयोग,1207,NN
268,होगी,1203,VFM
269,स्वयं,1200,NNPC
270,सके,1192,VAUX
271,लगता,1189,Unk
272,इसे,1183,PRP
273,मात्रा,1180,Unk
274,जाए,1177,VAUX
275,हमें,1171,PRP
276,आने,1169,VNN
277,चार,1168,QFNUM
278,जल,1167,Unk
279,मिल,1162,Unk
280,प्रत्येक,1158,Unk
281,ज्ञान,1155,Unk
282,आदमी,1152,NN
283,शुरू,1151,NVB
284,देना,1146,NN
285,अर्थ,1139,Unk
286,लगे,1138,VFM
287,पूरा,1136,Unk
288,धर्म,1135,NNC
289,जहां,1134,NLOC
290,आर्थिक,1132,JJ
291,देता,1131,VFM
292,यहाँ,1129,Unk
293,करोड़,1128,NN
294,शब्द,1127,Unk
295,बिना,1127,NEG
296,वाला,1124,NNP
297,रहते,1118,Unk
298,मनुष्य,1118,Unk
299,उसमें,1114,Unk
300,राष्ट्रीय,1113,NNC
301,क्षेत्रों,1113,NN
302,सामाजिक,1112,Unk
303,प्रभाव,1104,Unk
304,शरीर,1102,Unk
305,स्तर,1098,NN
306,पूरी,1089,Unk
307,स्पष्ट,1084,JJ
308,शक्ति,1084,Unk
